modelName;gateways;flowNodes;sequenceFlows;flowElements
001.bpmn;0;5;4;9
002.bpmn;2;9;9;18
003.bpmn;4;13;14;27
004.bpmn;4;16;17;33
005.bpmn;6;20;22;42
006.bpmn;8;24;27;51
007.bpmn;8;27;30;57
008.bpmn;10;31;35;66
009.bpmn;12;35;40;75
010.bpmn;12;38;43;81
011.bpmn;14;42;48;90
012.bpmn;16;46;53;99
013.bpmn;16;49;56;105
014.bpmn;18;53;61;114
015.bpmn;20;57;66;123
016.bpmn;20;60;69;129
017.bpmn;22;64;74;138
018.bpmn;24;68;79;147
019.bpmn;24;71;82;153
020.bpmn;26;75;87;162
021.bpmn;28;79;92;171
022.bpmn;28;82;95;177
023.bpmn;30;86;100;186
024.bpmn;32;90;105;195
025.bpmn;32;93;108;201
026.bpmn;34;97;113;210
027.bpmn;36;101;118;219
028.bpmn;36;104;121;225
029.bpmn;38;108;126;234
030.bpmn;40;112;131;243
031.bpmn;40;115;134;249
032.bpmn;42;119;139;258
033.bpmn;44;123;144;267
034.bpmn;44;126;147;273
035.bpmn;46;130;152;282
036.bpmn;48;134;157;291
037.bpmn;48;137;160;297
038.bpmn;50;141;165;306
039.bpmn;52;145;170;315
040.bpmn;52;148;173;321
041.bpmn;54;152;178;330
042.bpmn;56;156;183;339
043.bpmn;56;159;186;345
044.bpmn;58;163;191;354
045.bpmn;60;167;196;363
046.bpmn;60;170;199;369
047.bpmn;62;174;204;378
048.bpmn;64;178;209;387
049.bpmn;64;181;212;393
050.bpmn;66;185;217;402
051.bpmn;68;189;222;411
052.bpmn;68;192;225;417
053.bpmn;70;196;230;426
054.bpmn;72;200;235;435
055.bpmn;72;203;238;441
056.bpmn;74;207;243;450
057.bpmn;76;211;248;459
058.bpmn;76;214;251;465
059.bpmn;78;218;256;474
060.bpmn;80;222;261;483
061.bpmn;80;225;264;489
062.bpmn;82;229;269;498
063.bpmn;84;233;274;507
064.bpmn;84;236;277;513
065.bpmn;86;240;282;522
066.bpmn;88;244;287;531
067.bpmn;88;247;290;537
068.bpmn;90;251;295;546
069.bpmn;92;255;300;555
070.bpmn;92;258;303;561
071.bpmn;94;262;308;570
072.bpmn;96;266;313;579
073.bpmn;96;269;316;585
074.bpmn;98;273;321;594
075.bpmn;100;277;326;603
076.bpmn;100;280;329;609
077.bpmn;102;284;334;618
078.bpmn;104;288;339;627
079.bpmn;104;291;342;633
080.bpmn;106;295;347;642
081.bpmn;108;299;352;651
082.bpmn;108;302;355;657
083.bpmn;110;306;360;666
084.bpmn;112;310;365;675
085.bpmn;112;313;368;681
086.bpmn;114;317;373;690
087.bpmn;116;321;378;699
088.bpmn;116;324;381;705
089.bpmn;118;328;386;714
090.bpmn;120;332;391;723
091.bpmn;120;335;394;729
092.bpmn;122;339;399;738
093.bpmn;124;343;404;747
094.bpmn;124;346;407;753
095.bpmn;126;350;412;762
096.bpmn;128;354;417;771
097.bpmn;128;357;420;777
098.bpmn;130;361;425;786
099.bpmn;132;365;430;795
100.bpmn;132;368;433;801
101.bpmn;134;372;438;810
102.bpmn;136;376;443;819
103.bpmn;136;379;446;825
104.bpmn;138;383;451;834
105.bpmn;140;387;456;843
106.bpmn;140;390;459;849
107.bpmn;142;394;464;858
108.bpmn;144;398;469;867
109.bpmn;144;401;472;873
110.bpmn;146;405;477;882
111.bpmn;148;409;482;891
112.bpmn;148;412;485;897
113.bpmn;150;416;490;906
114.bpmn;152;420;495;915
115.bpmn;152;423;498;921
116.bpmn;154;427;503;930
117.bpmn;156;431;508;939
118.bpmn;156;434;511;945
119.bpmn;158;438;516;954
120.bpmn;160;442;521;963
121.bpmn;160;445;524;969
122.bpmn;162;449;529;978
123.bpmn;164;453;534;987
124.bpmn;164;456;537;993
125.bpmn;166;460;542;1002
126.bpmn;168;464;547;1011
127.bpmn;168;467;550;1017
128.bpmn;170;471;555;1026
129.bpmn;172;475;560;1035
130.bpmn;172;478;563;1041
131.bpmn;174;482;568;1050
132.bpmn;176;486;573;1059
133.bpmn;176;489;576;1065
134.bpmn;178;493;581;1074
135.bpmn;180;497;586;1083
136.bpmn;180;500;589;1089
137.bpmn;182;504;594;1098
138.bpmn;184;508;599;1107
139.bpmn;184;511;602;1113
140.bpmn;186;515;607;1122
141.bpmn;188;519;612;1131
142.bpmn;188;522;615;1137
143.bpmn;190;526;620;1146
144.bpmn;192;530;625;1155
145.bpmn;192;533;628;1161
146.bpmn;194;537;633;1170
147.bpmn;196;541;638;1179
148.bpmn;196;544;641;1185
149.bpmn;198;548;646;1194
150.bpmn;200;552;651;1203
