modelName;gateways;flowNodes;sequenceFlows;flowElements
p01x01.bpmn;2;5;4;9
p01x02.bpmn;2;6;5;11
p01x03.bpmn;2;7;6;13
p01x04.bpmn;2;8;7;15
p01x05.bpmn;2;9;8;17
p01x06.bpmn;2;10;9;19
p01x07.bpmn;2;11;10;21
p01x08.bpmn;2;12;11;23
p01x09.bpmn;2;13;12;25
p01x10.bpmn;2;14;13;27
p01x11.bpmn;2;15;14;29
p01x12.bpmn;2;16;15;31
p01x13.bpmn;2;17;16;33
p01x14.bpmn;2;18;17;35
p01x15.bpmn;2;19;18;37
p01x16.bpmn;2;20;19;39
p01x17.bpmn;2;21;20;41
p01x18.bpmn;2;22;21;43
p01x19.bpmn;2;23;22;45
p01x20.bpmn;2;24;23;47
p02x01.bpmn;2;6;6;12
p02x02.bpmn;2;8;8;16
p02x03.bpmn;2;10;10;20
p02x04.bpmn;2;12;12;24
p02x05.bpmn;2;14;14;28
p02x06.bpmn;2;16;16;32
p02x07.bpmn;2;18;18;36
p02x08.bpmn;2;20;20;40
p02x09.bpmn;2;22;22;44
p02x10.bpmn;2;24;24;48
p02x11.bpmn;2;26;26;52
p02x12.bpmn;2;28;28;56
p02x13.bpmn;2;30;30;60
p02x14.bpmn;2;32;32;64
p02x15.bpmn;2;34;34;68
p02x16.bpmn;2;36;36;72
p02x17.bpmn;2;38;38;76
p02x18.bpmn;2;40;40;80
p02x19.bpmn;2;42;42;84
p02x20.bpmn;2;44;44;88
p03x01.bpmn;2;7;8;15
p03x02.bpmn;2;10;11;21
p03x03.bpmn;2;13;14;27
p03x04.bpmn;2;16;17;33
p03x05.bpmn;2;19;20;39
p03x06.bpmn;2;22;23;45
p03x07.bpmn;2;25;26;51
p03x08.bpmn;2;28;29;57
p03x09.bpmn;2;31;32;63
p03x10.bpmn;2;34;35;69
p03x11.bpmn;2;37;38;75
p03x12.bpmn;2;40;41;81
p03x13.bpmn;2;43;44;87
p03x14.bpmn;2;46;47;93
p03x15.bpmn;2;49;50;99
p03x16.bpmn;2;52;53;105
p03x17.bpmn;2;55;56;111
p03x18.bpmn;2;58;59;117
p03x19.bpmn;2;61;62;123
p03x20.bpmn;2;64;65;129
p04x01.bpmn;2;8;10;18
p04x02.bpmn;2;12;14;26
p04x03.bpmn;2;16;18;34
p04x04.bpmn;2;20;22;42
p04x05.bpmn;2;24;26;50
p04x06.bpmn;2;28;30;58
p04x07.bpmn;2;32;34;66
p04x08.bpmn;2;36;38;74
p04x09.bpmn;2;40;42;82
p04x10.bpmn;2;44;46;90
p04x11.bpmn;2;48;50;98
p04x12.bpmn;2;52;54;106
p04x13.bpmn;2;56;58;114
p04x14.bpmn;2;60;62;122
p04x15.bpmn;2;64;66;130
p04x16.bpmn;2;68;70;138
p04x17.bpmn;2;72;74;146
p04x18.bpmn;2;76;78;154
p04x19.bpmn;2;80;82;162
p04x20.bpmn;2;84;86;170
p05x01.bpmn;2;9;12;21
p05x02.bpmn;2;14;17;31
p05x03.bpmn;2;19;22;41
p05x04.bpmn;2;24;27;51
p05x05.bpmn;2;29;32;61
p05x06.bpmn;2;34;37;71
p05x07.bpmn;2;39;42;81
p05x08.bpmn;2;44;47;91
p05x09.bpmn;2;49;52;101
p05x10.bpmn;2;54;57;111
p05x11.bpmn;2;59;62;121
p05x12.bpmn;2;64;67;131
p05x13.bpmn;2;69;72;141
p05x14.bpmn;2;74;77;151
p05x15.bpmn;2;79;82;161
p05x16.bpmn;2;84;87;171
p05x17.bpmn;2;89;92;181
p05x18.bpmn;2;94;97;191
p05x19.bpmn;2;99;102;201
p05x20.bpmn;2;104;107;211
p06x01.bpmn;2;10;14;24
p06x02.bpmn;2;16;20;36
p06x03.bpmn;2;22;26;48
p06x04.bpmn;2;28;32;60
p06x05.bpmn;2;34;38;72
p06x06.bpmn;2;40;44;84
p06x07.bpmn;2;46;50;96
p06x08.bpmn;2;52;56;108
p06x09.bpmn;2;58;62;120
p06x10.bpmn;2;64;68;132
p06x11.bpmn;2;70;74;144
p06x12.bpmn;2;76;80;156
p06x13.bpmn;2;82;86;168
p06x14.bpmn;2;88;92;180
p06x15.bpmn;2;94;98;192
p06x16.bpmn;2;100;104;204
p06x17.bpmn;2;106;110;216
p06x18.bpmn;2;112;116;228
p06x19.bpmn;2;118;122;240
p06x20.bpmn;2;124;128;252
p07x01.bpmn;2;11;16;27
p07x02.bpmn;2;18;23;41
p07x03.bpmn;2;25;30;55
p07x04.bpmn;2;32;37;69
p07x05.bpmn;2;39;44;83
p07x06.bpmn;2;46;51;97
p07x07.bpmn;2;53;58;111
p07x08.bpmn;2;60;65;125
p07x09.bpmn;2;67;72;139
p07x10.bpmn;2;74;79;153
p07x11.bpmn;2;81;86;167
p07x12.bpmn;2;88;93;181
p07x13.bpmn;2;95;100;195
p07x14.bpmn;2;102;107;209
p07x15.bpmn;2;109;114;223
p07x16.bpmn;2;116;121;237
p07x17.bpmn;2;123;128;251
p07x18.bpmn;2;130;135;265
p07x19.bpmn;2;137;142;279
p07x20.bpmn;2;144;149;293
p08x01.bpmn;2;12;18;30
p08x02.bpmn;2;20;26;46
p08x03.bpmn;2;28;34;62
p08x04.bpmn;2;36;42;78
p08x05.bpmn;2;44;50;94
p08x06.bpmn;2;52;58;110
p08x07.bpmn;2;60;66;126
p08x08.bpmn;2;68;74;142
p08x09.bpmn;2;76;82;158
p08x10.bpmn;2;84;90;174
p08x11.bpmn;2;92;98;190
p08x12.bpmn;2;100;106;206
p08x13.bpmn;2;108;114;222
p08x14.bpmn;2;116;122;238
p08x15.bpmn;2;124;130;254
p08x16.bpmn;2;132;138;270
p08x17.bpmn;2;140;146;286
p08x18.bpmn;2;148;154;302
p08x19.bpmn;2;156;162;318
p08x20.bpmn;2;164;170;334
p09x01.bpmn;2;13;20;33
p09x02.bpmn;2;22;29;51
p09x03.bpmn;2;31;38;69
p09x04.bpmn;2;40;47;87
p09x05.bpmn;2;49;56;105
p09x06.bpmn;2;58;65;123
p09x07.bpmn;2;67;74;141
p09x08.bpmn;2;76;83;159
p09x09.bpmn;2;85;92;177
p09x10.bpmn;2;94;101;195
p09x11.bpmn;2;103;110;213
p09x12.bpmn;2;112;119;231
p09x13.bpmn;2;121;128;249
p09x14.bpmn;2;130;137;267
p09x15.bpmn;2;139;146;285
p09x16.bpmn;2;148;155;303
p09x17.bpmn;2;157;164;321
p09x18.bpmn;2;166;173;339
p09x19.bpmn;2;175;182;357
p09x20.bpmn;2;184;191;375
p10x01.bpmn;2;14;22;36
p10x02.bpmn;2;24;32;56
p10x03.bpmn;2;34;42;76
p10x04.bpmn;2;44;52;96
p10x05.bpmn;2;54;62;116
p10x06.bpmn;2;64;72;136
p10x07.bpmn;2;74;82;156
p10x08.bpmn;2;84;92;176
p10x09.bpmn;2;94;102;196
p10x10.bpmn;2;104;112;216
p10x11.bpmn;2;114;122;236
p10x12.bpmn;2;124;132;256
p10x13.bpmn;2;134;142;276
p10x14.bpmn;2;144;152;296
p10x15.bpmn;2;154;162;316
p10x16.bpmn;2;164;172;336
p10x17.bpmn;2;174;182;356
p10x18.bpmn;2;184;192;376
p10x19.bpmn;2;194;202;396
p10x20.bpmn;2;204;212;416
p11x01.bpmn;2;15;24;39
p11x02.bpmn;2;26;35;61
p11x03.bpmn;2;37;46;83
p11x04.bpmn;2;48;57;105
p11x05.bpmn;2;59;68;127
p11x06.bpmn;2;70;79;149
p11x07.bpmn;2;81;90;171
p11x08.bpmn;2;92;101;193
p11x09.bpmn;2;103;112;215
p11x10.bpmn;2;114;123;237
p11x11.bpmn;2;125;134;259
p11x12.bpmn;2;136;145;281
p11x13.bpmn;2;147;156;303
p11x14.bpmn;2;158;167;325
p11x15.bpmn;2;169;178;347
p11x16.bpmn;2;180;189;369
p11x17.bpmn;2;191;200;391
p11x18.bpmn;2;202;211;413
p11x19.bpmn;2;213;222;435
p11x20.bpmn;2;224;233;457
p12x01.bpmn;2;16;26;42
p12x02.bpmn;2;28;38;66
p12x03.bpmn;2;40;50;90
p12x04.bpmn;2;52;62;114
p12x05.bpmn;2;64;74;138
p12x06.bpmn;2;76;86;162
p12x07.bpmn;2;88;98;186
p12x08.bpmn;2;100;110;210
p12x09.bpmn;2;112;122;234
p12x10.bpmn;2;124;134;258
p12x11.bpmn;2;136;146;282
p12x12.bpmn;2;148;158;306
p12x13.bpmn;2;160;170;330
p12x14.bpmn;2;172;182;354
p12x15.bpmn;2;184;194;378
p12x16.bpmn;2;196;206;402
p12x17.bpmn;2;208;218;426
p12x18.bpmn;2;220;230;450
p12x19.bpmn;2;232;242;474
p12x20.bpmn;2;244;254;498
p13x01.bpmn;2;17;28;45
p13x02.bpmn;2;30;41;71
p13x03.bpmn;2;43;54;97
p13x04.bpmn;2;56;67;123
p13x05.bpmn;2;69;80;149
p13x06.bpmn;2;82;93;175
p13x07.bpmn;2;95;106;201
p13x08.bpmn;2;108;119;227
p13x09.bpmn;2;121;132;253
p13x10.bpmn;2;134;145;279
p13x11.bpmn;2;147;158;305
p13x12.bpmn;2;160;171;331
p13x13.bpmn;2;173;184;357
p13x14.bpmn;2;186;197;383
p13x15.bpmn;2;199;210;409
p13x16.bpmn;2;212;223;435
p13x17.bpmn;2;225;236;461
p13x18.bpmn;2;238;249;487
p13x19.bpmn;2;251;262;513
p13x20.bpmn;2;264;275;539
p14x01.bpmn;2;18;30;48
p14x02.bpmn;2;32;44;76
p14x03.bpmn;2;46;58;104
p14x04.bpmn;2;60;72;132
p14x05.bpmn;2;74;86;160
p14x06.bpmn;2;88;100;188
p14x07.bpmn;2;102;114;216
p14x08.bpmn;2;116;128;244
p14x09.bpmn;2;130;142;272
p14x10.bpmn;2;144;156;300
p14x11.bpmn;2;158;170;328
p14x12.bpmn;2;172;184;356
p14x13.bpmn;2;186;198;384
p14x14.bpmn;2;200;212;412
p14x15.bpmn;2;214;226;440
p14x16.bpmn;2;228;240;468
p14x17.bpmn;2;242;254;496
p14x18.bpmn;2;256;268;524
p14x19.bpmn;2;270;282;552
p14x20.bpmn;2;284;296;580
p15x01.bpmn;2;19;32;51
p15x02.bpmn;2;34;47;81
p15x03.bpmn;2;49;62;111
p15x04.bpmn;2;64;77;141
p15x05.bpmn;2;79;92;171
p15x06.bpmn;2;94;107;201
p15x07.bpmn;2;109;122;231
p15x08.bpmn;2;124;137;261
p15x09.bpmn;2;139;152;291
p15x10.bpmn;2;154;167;321
p15x11.bpmn;2;169;182;351
p15x12.bpmn;2;184;197;381
p15x13.bpmn;2;199;212;411
p15x14.bpmn;2;214;227;441
p15x15.bpmn;2;229;242;471
p15x16.bpmn;2;244;257;501
p15x17.bpmn;2;259;272;531
p15x18.bpmn;2;274;287;561
p15x19.bpmn;2;289;302;591
p15x20.bpmn;2;304;317;621
p16x01.bpmn;2;20;34;54
p16x02.bpmn;2;36;50;86
p16x03.bpmn;2;52;66;118
p16x04.bpmn;2;68;82;150
